Survey Response Number,Q1_How many years have you worked for the City?,Q2_Have you ever transferred departments within the City?,AltQ3A_ Additional career advancement opportunities,AltQ3B_ Attractive retention incentives in the new department,AltQ3C_ Better compensation/salary,AltQ3D_ Better management/ co-workers/ department culture,AltQ3E_ Dissatisfaction with how I was treated in my previous department,AltQ3F_ More opportunities for telework/ flexible work hours,Q4A_I intend to be working for the City 1 year from now.,Q4B_I intend to be working for the City 5 years from now.,Q4C_I intend to retire from the City.,"Q5_Since becoming a City of Austin employee, when was the last time you applied for a job outside the City?","Q6A_Benefits (including insurance, vacation, etc.)",Q6B_Career advancement opportunities,Q6C_Commitment to public service,Q6D_Compensation/salary,Q6E_Fair and equitable treatment,Q6F_Management/ co-workers/ department culture,Q6G_Retirement/ pension,Q6H_Telework/ flexible work hours,Q7_Do the training and development opportunities offered by your department improve your desire to stay with the City?,Q8_Do the training and development opportunities offered by the City improve your desire to stay with the City?,Q9A_I am satisfied with my current work/life balance.,Q9B_I feel valued by my management.,Q9C_I would recommend my department to a friend.,Q9D_I would recommend the City as an employer to a friend.,Q10_What Department are you with?,Q11_Does the retention program offered by your department improve your desire to stay with the City? Retention program refers to any monetary incentives added to base pay.
251,6 to 10 years,"Yes, I have transferred between City departments.",Very Important,Neither Important Nor Unimportant,Very Important,Absolutely Essential,Absolutely Essential,Very Important,Extremely Likely,Likely,Likely,Over 6 months ago,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,No,Agree,Agree,Strongly Agree,Agree,Transportation and Public Works,I am not aware of any retention programs offered by my department.
252,6 to 10 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Neutral,Neutral,Neutral,Within the past 3 months,Neither Important Nor Unimportant,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Austin Energy,I am not aware of any retention programs offered by my department.
253,11 to 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Likely,Unlikely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Agree,Agree,Neutral,Neutral,Austin Energy,I am not aware of any retention programs offered by my department.
254,More than 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Neutral,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,No,No,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fire Department,
255,Between 1 and 5 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Neither Important Nor Unimportant,Very Important,Absolutely Essential,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Absolutely Essential,Not Important At All,No,No,Strongly Disagree,Agree,Agree,Agree,Parks and Recreation,
256,Between 1 and 5 years,"Yes, I have transferred between City departments.",Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Neither Important Nor Unimportant,Absolutely Essential,Likely,Neutral,Unlikely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Very Important,Very Important,Very Important,Absolutely Essential,No,No,Neutral,Strongly Agree,Strongly Agree,Agree,Capital Delivery Services,
257,More than 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Neutral,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Of Little Importance,Very Important,Very Important,Absolutely Essential,Not Important At All,No,No,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Watershed Protection,I am not eligible for my department's retention program.
258,Less than a year,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Neutral,Extremely unlikely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Planning Department,
259,More than 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Likely,Likely,Over 6 months ago,Very Important,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Of Little Importance,Neither Important Nor Unimportant,Very Important,Of Little Importance,No,No,Agree,Neutral,Neutral,Agree,Austin Public Library,No
260,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Neutral,Neutral,Over 6 months ago,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,No,Agree,Agree,Strongly Agree,Neutral,Law Department,
261,More than 15 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,Over 6 months ago,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Austin Public Health,I am not aware of any retention programs offered by my department.
262,11 to 15 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,Over 6 months ago,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,No,Neutral,Neutral,Strongly Agree,Strongly Agree,Austin-Bergstrom International Airport,Yes
263,Between 1 and 5 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Neutral,Unlikely,Unlikely,Within the past 3 months,Very Important,Very Important,Of Little Importance,Absolutely Essential,Very Important,Very Important,Very Important,Absolutely Essential,No,No,Disagree,Strongly Disagree,Disagree,Agree,Financial Services Department,
264,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Neutral,Unlikely,Neutral,3 months to 6 months ago,Very Important,Absolutely Essential,Not Important At All,Neither Important Nor Unimportant,Absolutely Essential,Very Important,Very Important,Absolutely Essential,No,No,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Housing Department,
265,Between 1 and 5 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Unlikely,Unlikely,Unlikely,Within the past 3 months,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Disagree,Neutral,Strongly Disagree,Neutral,I Prefer Not to Disclose,
266,More than 15 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Likely,Likely,Likely,I have not applied for any jobs outside the City,Very Important,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Yes,Yes,Agree,Agree,Neutral,Neutral,Transportation and Public Works,I am not aware of any retention programs offered by my department.
267,Less than a year,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Neutral,Unlikely,Unlikely,3 months to 6 months ago,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Yes,Yes,Strongly Agree,Strongly Agree,Agree,Neutral,Information Security Office,
268,More than 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Very Important,Not Important At All,Neither Important Nor Unimportant,Absolutely Essential,Not Important At All,Neither Important Nor Unimportant,Absolutely Essential,Very Important,No,No,Disagree,Neutral,Strongly Disagree,Neutral,I Prefer Not to Disclose,
269,11 to 15 years,"Yes, I have transferred between City departments.",Very Important,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Likely,Likely,Likely,3 months to 6 months ago,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,No,No,Neutral,Neutral,Agree,Agree,I Prefer Not to Disclose,
270,More than 15 years,"Yes, I have transferred between City departments.",Neither Important Nor Unimportant,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Very Important,Very Important,Neither Important Nor Unimportant,Likely,Likely,Likely,I have not applied for any jobs outside the City,Absolutely Essential,Neither Important Nor Unimportant,Very Important,Very Important,Very Important,Very Important,Very Important,Neither Important Nor Unimportant,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Transportation and Public Works,I am not aware of any retention programs offered by my department.
